original_class_label,canonical_label,recommendation,justification,Unnamed: 4
bean bag chair,beanbag chair,apply,Spacing/name variants for the same seating object.,
beanbag,beanbag chair,apply,Spacing/name variants for the same seating object.,
beanbag chair,chair,,,
bed,bed,,,
bed base,bed,,,
bed cabinet,bedside cabinet,apply,Placement wording, both denote a small cabinet beside a bed.
bed cabinet lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
bed comforter,bed sheet,,,
bed curtain,curtain,,,
bed for pet,pet bed,apply,Animal-species/word-order modifiers, same general pet-bed category.
bed ladder,bed ladder,,,
bed light,lamp,,,
bed sheet,blanket,,,
bed small,bed,apply,Size modifier is non-essential.,
bed stand,bed,,,
bed table,table,,,
bedding,bed,,,
bedframe,bed,,,
bedpost,bed,,,
bedroom table,table,,,
bedside cabinet,bedside table,apply,Placement wording, both denote a small cabinet beside a bed.
bedside cabinet door,cabinet door,apply,Parent-room/location modifier does not change the cabinet-door class.,
bedside cabinet drawer,cabinet drawer,apply,Parent-room/location modifier does not change the cabinet-drawer class.,
bedside lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
bedside table,side table,,,
beer crate,beer crate,,,
bell,bell,,,
belt,belt,,,
bench,bench,,,
beverage dispenser,beverage dispenser,,,
bicycle,bicycle,,,
bicycle helmet,bicycle helmet,,,
bicycle helmets,bicycle helmet,apply,Singular/plural normalization.,
bidet,toilet,,,
big bag,bag,apply,"Plurality, size, material, or quantity is non-essential to the general bag class.",
billiard balls,pool table,,,
billiard cue,pool table,,,
billiard cues,billiard cue,apply,Plurality and common synonym, same billiards implement.
bin,bin,,,
binder,document,,,
binders,binder,apply,Plurality/quantity does not change the object class.,
birdhouse,birdhouse,,,
blackboard,board,,,
blanket,blanket,,,
blanket basket,basket,,,
blankets,blanket,apply,Plurality/quantity and style/use modifier, same general blanket class.
blinds,window shade,,,
blouse,clothes,,,
board,board,,,
board game,board game,,,
board games,board game,apply,Singular/plural normalization.,
board with keys,board with keys,,,
boards,board,apply,Singular/plural normalization.,
boat model,model,apply,"Subject modifier describes what the scale model depicts, not its general object category.",
boiler,furnace,,,
bonsai tree,plant,,,
book,book,,,
book cabinet,cabinet,,,
book display,shelf,,,
book rack,shelf,,,
bookshelf,shelf,,,
bookstand,shelf,,,
boots,shoe,,,
bottle,bottle,,,
bottle dispenser,bottle dispenser,,,
bottle of detergent,detergent,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottle of soap,soap bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottle of water,water bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottle of wine,wine,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottle opener,bottle opener,,,
bottles,bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottles of water,water bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bottles of wine,wine,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
bouquet,plant,,,
bowl,bowl,,,
bowl of fruit,fruit,,,
bowl of fruits,bowl of fruit,apply,Decoration/content and plurality are non-essential to the general bowl class.,
bowl of sweets,snack,,,
bowl with sweets,bowl of sweets,apply,Decoration/content and plurality are non-essential to the general bowl class.,
bowls,bowl,apply,Decoration/content and plurality are non-essential to the general bowl class.,
box,box,,,
box of food,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box of fruit,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box of paper,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box of something,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box of tissue,tissue,,,
box of tissues,box of tissue,,,
box pen,stationery,,,
box with books,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box with jewelry,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box with photos,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box with shoes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box with tea,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
box with toys,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
boxes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
boxes with books,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
boxing ring,boxing ring,,,
bread,bread,,,
bread bin,bread box,,,
bread box,bread box,,,
breadbox,bread box,apply,Spacing variant.,
bricks,bricks,,,
bridge,bridge,,,
briefcase,bag,,,
brochure,document,,,
brochures,brochure,apply,Singular/plural normalization.,
broom,broom,,,
broomstick,broom,,,
brush,brush,,,
brushes,brush,apply,Singular/plural normalization, functional brush subtypes remain distinct.
bucket,bucket,,,
buckets,bucket,apply,Singular/plural normalization.,
buffet,buffet,,,
bulletin board,board,,,
bunk bed,bed,,,
bureau,cabinet,,,
bust,sculpture,,,
button,button,,,
cabinet,cabinet,,,
cabinet /otherroom,cabinet,apply,"Annotation/context suffixes describe location or contents, not a different cabinet class.",
cabinet /w clutter,cabinet,apply,"Annotation/context suffixes describe location or contents, not a different cabinet class.",
cabinet /w cluttered art,cabinet,apply,"Annotation/context suffixes describe location or contents, not a different cabinet class.",
cabinet clutter,cabinet,apply,"Annotation/context suffixes describe location or contents, not a different cabinet class.",
cabinet counter,cabinet,,,
cabinet door,cabinet,,,
cabinet drawer,cabinet,,,
cabinet kitchen,kitchen cabinet,apply,Word-order and vertical-position modifiers, all are kitchen cabinets.
cabinet mirror,mirror,apply,"Location/context modifiers describe placement, not a different mirror class.",
cabinet parts,cabinet,,,
cabinet table,cabinet,,,
cable,cable,,,
cables,cable,apply,Singular/plural normalization.,
cage,cage,,,
cake,cake,,,
calculator,calculator,,,
calendar,calendar,,,
camera,camera,,,
camping chair,chair,,,
can,can,,,
can of paint,can,apply,Plurality/content modifier, same general can container.
canal,canal,,,
candelabra,candelabra,,,
candle,candle,,,
candle holder,candle holder,,,
candle stand,candle stand,,,
candlestick,candlestick,,,
canister,container,,,
canoe,canoe,,,
canopy,canopy,,,
cans,can,apply,Plurality/content modifier, same general can container.
cans of paint,can,apply,Plurality/content modifier, same general can container.
canvas,artwork,,,
cap,hat,,,
car,car,,,
car model,model,apply,"Subject modifier describes what the scale model depicts, not its general object category.",
card,card,,,
cardboard,cardboard,,,
cardboard box,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
carpet,rug,,,
carpet roll,carpet,apply,"Location, material, and rolled-state modifiers are non-essential to the general carpet class.",
cart,cart,,,
case,box,,,
cases,case,apply,Singular/plural normalization, dedicated cases remain distinct.
cash register,cash register,,,
casket,casket,,,
cassette,cassette,,,
cat,cat,,,
cat bed,pet bed,apply,Animal-species/word-order modifiers, same general pet-bed category.
cat food,cat food,,,
cat food bag,cat food,,,
cat litter box,cat litter box,,,
cat toilet,cat litter box,,,
cat tree,cat tree,,,
cd,cd,,,
cd player,audio player,,,
cds,cd,apply,Plurality/quantity does not change the object class.,
ceiling arch,ceiling arch,,,
ceiling chassis,ceiling chassis,,,
ceiling decorative lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
ceiling fan,fan,,,
ceiling fan lamp,light,,,
ceiling fan vent,air vent fan,,,
ceiling fire detector,smoke detector,,,
ceiling fixture,light fixture,apply,Equivalent wording/location modifier for a general light fixture.,
ceiling hanger,hanger,,,
ceiling ladder,ceiling ladder,,,
ceiling lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
ceiling lamp hanger,lamp,,,
ceiling lamp rail,lamp,,,
ceiling light,light,,,
ceiling light fixture connection,lamp,,,
central heating furnace,furnace,,,
ceramics,ceramics,,,
chain,chain,,,
chair,chair,,,
chair /w clutter,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
chair stand,chair stand,,,
chaise,chair,,,
chaise longue,chaise,,,
chamber pot,toilet,,,
chandelier,light,,,
changing table,baby changing table,,,
charger,computer equipment,,,
chassis,chassis,,,
chess,board game,,,
chest,chest,,,
chest bench,bench,,,
chest drawer,chest of drawers,apply,Grammatical variants of the same furniture class.,
chest of drawer,chest of drawers,apply,Grammatical variants of the same furniture class.,
chest of drawers,drawer,,,
child car seat,child car seat,,,
christmas tree,christmas tree,,,
circular sofa,sofa,apply,Common synonym plus shape/quantity modifiers, same general sofa class.
clarinet,clarinet,,,
cleaner,cleaner,,,
cleaner bottle,soap bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
cleaner brush,brush,,,
cleaning clutter,cleaner,,,
cleaning fluid,cleaner,,,
cleaning liquid,cleaner,,,
cleaning paper,cleaner,,,
cleaning paste,cleaner,,,
cleaning powders/ liquids,cleaner,,,
cleaning sponge,sponge,,,
cleaning spray,cleaner,,,
clock,clock,,,
closet,wardrobe,,,
closet area for hanging clothes,wardrobe,,,
closet door,closet door,,,
closet rod,clothes rack,,,
closet shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
closet shelving,shelf,,,
closet storage area,storage,,,
cloth,cloth,,,
cloth dryer,clothes dryer,apply,Wording variant for the same appliance.,
cloth hanger,clothes hanger,apply,Plurality and clothing-type wording, same general garment hanger.
cloth hangers,clothes hanger,apply,Plurality and clothing-type wording, same general garment hanger.
cloth holder,cloth holder,,,
clothes,clothes,,,
clothes bag,bag,,,
clothes container,clothes container,,,
clothes dryer,clothes dryer,,,
clothes hamper,laundry,,,
clothes hanger,hanger,,,
clothes hanger rod,clothes rack,,,
clothes on shelf,clothes,apply,State/location/quantity modifiers do not change the clothing class.,
clothes rack,clothes rack,,,
clothing stand,clothes rack,,,
clutter,clutter,,,
coach,sofa,,,
coaster,coaster,,,
coat,clothes,,,
coat hanger,clothes hanger,apply,Plurality and clothing-type wording, same general garment hanger.
coat rack,clothes rack,,,
coffee machine,coffee maker,apply,Common synonyms for the same appliance.,
coffee maker,coffee maker,,,
coffee mug,cup,,,
coffee table,coffee table,,,
compressor,compressor,,,
computer,computer,,,
computer chair,office chair,apply,Equivalent usage/context labels for the same desk/office seating class.,
computer desk,desk,,,
computer equipment,computer equipment,,,
computer mouse,computer equipment,,,
computer tower,computer,,,
condensation furnace,furnace,,,
condiment,spices,,,
cone,cone,,,
conference phone,phone,,,
console,game console,,,
console pad,game console,,,
console pad charger,game console,,,
construction stuff,construction stuff,,,
container,container,,,
containers,container,apply,Singular/plural normalization.,
control,controller,,,
control panel,controller,,,
controller,controller,,,
cook book,book,,,
cooker,oven,,,
cooker hood,extractor hood,apply,Common names/location wording for the same kitchen extraction appliance.,
cookies,snack,,,
copier,printer,,,
copier machine,printer,,,
cork board,board,,,
cosmetic,cosmetics,apply,"Singular/plural, quantity, and location modifiers; same general cosmetics class.",
cosmetics,cosmetics,,,
couch,sofa,apply,Common synonym plus shape/quantity modifiers, same general sofa class.
counter,countertop,,,
counter desk,desk,,,
counter door,counter door,,,
countertop,countertop,,,
countertop /otherroom,countertop,apply,Annotation location suffix is non-semantic.,
countertop item,countertop item,,,
cover,cover,,,
cradle,bed,,,
crate,box,,,
crayon,pen,,,
crib,bed,,,
cross,cross,,,
cross-trainer,exercise equipment,,,
crutches,crutches,,,
cuddly toy,toy,,,
cup,cup,,,
cups,cup,,,
curb,curb,,,
curtain,curtain,,,
curtain bar,curtain,,,
curtain box,curtain,,,
curtain hanger,curtain,,,
curtain rail,curtain,,,
curtain rod,curtain,,,
curtain rod cover,curtain,,,
curtain valence,curtain,,,
cushion,cushion,,,
cutlery,cutlery,,,
cutting board,kitchen utensil,,,
cyp,cyp,,,
dartboard,dartboard,,,
deck chair,chair,,,
decoder,decoder,,,
decor,decoration,,,
decoration,decoration,,,
decorative bottle,bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
decorative bowl,bowl,apply,Decoration/content and plurality are non-essential to the general bowl class.,
decorative ceramic,decoration,,,
decorative cloth,cloth,apply,Decorative style modifier is non-essential.,
decorative dinnerware,dinnerware,apply,Decorative style modifier is non-essential.,
decorative frame,frame,apply,Content/style modifiers, all denote a general frame object. Specialized mirror/screen/shower frames remain distinct.
decorative lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
decorative lantern,light,,,
decorative mask,decoration,,,
decorative plant,plant,apply,Decorative modifier is non-essential.,
decorative plate,plate,apply,"Plurality, quantity, and decorative style are non-essential; non-dish plates such as steel plate remain separate.",
decorative quilt,blanket,,,
decorative tray,tray,apply,Style/quantity modifiers are non-essential, functional tray subtypes remain distinct.
decorative vase,vase,apply,Style/content-context modifiers are non-essential to the general vase class.,
decorative vessel,vessel,apply,Decorative style modifier is non-essential.,
dehumidifier,dehumidifier,,,
den,den,,,
desk,desk,,,
desk cabinet,cabinet,,,
desk chair,office chair,apply,Equivalent usage/context labels for the same desk/office seating class.,
desk clutter,clutter,,,
desk door,desk door,,,
desk lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
desk organizer,stationery,,,
detergent,cleaner,,,
detergent bottle,soap bottle,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
device,electrical device,,,
dining chair,chair,,,
dining table,table,,,
dinner chair,dining chair,apply,Equivalent wording for the same functional chair subtype.,
dinner table,dining table,apply,Equivalent wording for the same functional table subtype.,
dinnerware,dinnerware,,,
diploma,diploma,,,
dirt ground,dirt ground,,,
dish,dinnerware,,,
dish cabinet,cabinet,,,
dish dryer,dish rack,,,
dish rack,dish rack,,,
dishes,dinnerware,,,
dishrag,rag,,,
dishwasher,dishwasher,,,
dispenser,dispenser,,,
display,display case,,,
display cabinet,cabinet,,,
display case,display case,,,
display of pictures,picture,apply,Plurality/quantity/display-context modifiers, same general picture class.
display table,table,,,
document,document,,,
document holder,document holder,,,
dog bed,pet bed,apply,Animal-species/word-order modifiers, same general pet-bed category.
dog leash,dog leash,,,
dog toy,dog toy,,,
doily,doily,,,
doll,doll,,,
door cabinet,cabinet,,,
door screen,door screen,,,
doormat,rug,,,
double armchair,armchair,apply,"Size, quantity, or placement/context modifier; all are armchairs.",
draw,drawer,,,
drawer,drawer,,,
drawer cabinet,cabinet,,,
drawer cart,drawer cart,,,
drawer desk,desk,,,
drawer sink table,sink,,,
drawers,drawer,apply,Singular/plural normalization.,
drawers for clothes,drawer,,,
drawing,artwork,,,
dress,clothes,,,
dresser,drawer,,,
dressing table,dressing table,,,
dried flowers,flower,apply,State/plural modifier is non-essential to the general flower class.,
drill,drill,,,
drinking fountain,water dispenser,,,
drum,drum,,,
dumbbell,weight,,,
dustbin,trash can,apply,Spacing/common synonym normalization.,
dustpan,dustpan,,,
duvet,blanket,,,
dvd,dvd,,,
dvd player,audio player,,,
easel,easel,,,
easy chair,chair,,,
electric box,electrical box,,,
electric cable,cable,,,
electric cord,cable,,,
electric device,electrical device,,,
electric drum,drum,,,
electric freshener,air freshener,apply,Same general appliance, wording/power-source modifier is non-essential.
electric guitar,guitar,,,
electric heater,heater,,,
electric hub,electric hub,,,
electric installation,electrical installation,,,
electric kettle,kettle,,,
electric outlet,outlet,,,
electric percussion,drum,,,
electric plug,outlet,,,
electric toothbrush,toothbrush,,,
electric wire,cable,,,
electric wire casing,electric wire casing,,,
electrical box,electrical box,,,
electrical controller,controller,,,
electrical device,electrical device,,,
electrical installation,electrical installation,,,
electrical switchboard,electrical box,,,
electricity box,electrical box,,,
electronics,electrical device,,,
elephant sculpture,sculpture,,,
elevator,elevator,,,
emergency sign,sign,,,
end table,side table,,,
entertainment set,tv stand,,,
entry phone,phone,,,
exercise ball,exercise ball,,,
exercise bike,exercise bike,,,
exercise equipment,exercise equipment,,,
exercise ladder,exercise ladder,,,
exercise machine,exercise equipment,,,
exercise mat,exercise mat,,,
exercise mat roll,exercise mat,,,
exercising blocks,exercise equipment,,,
exhibition panel,exhibition panel,,,
exhibition picture,picture,apply,Plurality/quantity/display-context modifiers, same general picture class.
exhibition table,table,,,
exit sign,sign,,,
extension cord,cable,,,
extension lead,cable,,,
extractor,extractor hood,apply,Common names/location wording for the same kitchen extraction appliance.,
extractor hood,extractor hood,,,
eyeglasses,eyeglasses,,,
fan,fan,,,
fan air vent,air vent fan,,,
fan coil,air conditioner,,,
faucet,faucet,,,
figure,sculpture,,,
figurine,sculpture,,,
file,document,,,
file binder,document,,,
file cabinet,cabinet,,,
fire alarm,smoke detector,,,
fire detector,smoke detector,,,
fire extinguisher,fire extinguisher,,,
fire pit,fireplace,,,
fire screen,fireplace,,,
fire sprinkler,sprinkler,,,
firebox,fireplace,,,
fireplace,fireplace,,,
fireplace brush,fireplace tool set,,,
fireplace mirror,mirror,apply,"Location/context modifiers describe placement, not a different mirror class.",
fireplace sconce,light,,,
fireplace shelf,shelf,,,
fireplace tool set,fireplace tool set,,,
fireplace utensil,fireplace tool set,,,
firewood,firewood,,,
firewood bag,firewood,,,
firewood chest,firewood,,,
firewood holder,firewood,,,
fish tank,aquarium,,,
fishing pole,fishing rod,,,
fishing rod,fishing rod,,,
fitness ball,exercise ball,apply,Common synonyms for the same exercise object.,
flag,flag,,,
flashlight,flashlight,,,
flatware,cutlery,,,
floor lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
floor mat,rug,,,
floor stand,floor stand,,,
flower,plant,,,
flower stand,flower stand,,,
flower vase,vase,apply,Style/content-context modifiers are non-essential to the general vase class.,
flowerbed,flowerbed,,,
flowerpot,plant,,,
fluorescent light,light,,,
flush,flush,,,
flush button,flush button,,,
flush push,flush push,,,
foam,foam,,,
folded chair,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
folded table,table,apply,Folded state is non-essential, functional table subtypes remain distinct.
folder,document,,,
folding chair,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
folding stand,folding stand,,,
food,food,,,
food processor,food processor,,,
food stand,food stand,,,
food tray,tray,,,
foosball game table,foosball table,,,
foosball table,foosball table,,,
foot spa,foot spa,,,
foot stand,footstool,,,
football,football,,,
footrest,footstool,,,
footstool,footstool,,,
fork,cutlery,,,
frame,frame,,,
framed text,artwork,,,
freezer,refrigerator,,,
fridge,refrigerator,apply,Common synonym and size modifier, same general appliance.
fruit,fruit,,,
fruit bowl,bowl,apply,Decoration/content and plurality are non-essential to the general bowl class.,
frying pan,pan,,,
fume cupboard,fume cupboard,,,
fur,fur,,,
fur carpet,carpet,apply,"Location, material, and rolled-state modifiers are non-essential to the general carpet class.",
furnace,furnace,,,
furniture,furniture,,,
fuse box,electrical box,,,
fuse panel,fuse box,,,
game,game,,,
game board,board game,,,
game console,game console,,,
gap,gap,,,
garage door motor,garage door motor,,,
garage door opener,garage door opener,,,
garage door opener bar,garage door opener railing,,,
garage door opener motor,garage door motor,,,
garage door opener railing,garage door opener railing,,,
garage door railing,garage door opener railing,,,
garage light,light,,,
garden bench,bench,apply,Material/location/generic-use modifiers, specialized functional benches remain distinct.
garden chair,chair,,,
gas box,gas box,,,
gas container,gas container,,,
gas furnace,furnace,,,
gas meter,gas meter,,,
gauge,gauge,,,
gift,gift,,,
glass,glass,,,
glass container,container,,,
glasses,glasses,,,
globe,globe,,,
globe stand,globe stand,,,
gloves,gloves,,,
glue,glue,,,
goalpost,goalpost,,,
golf sticks,golf sticks,,,
grab bar,grab bar,,,
gramophone,audio player,,,
grandfather clock,clock,,,
grass,grass,,,
grate,grate,,,
gravel,gravel,,,
grill,barbecue,,,
groceries,groceries,,,
guitar,guitar,,,
guitar case,guitar,,,
guitar case cover,guitar case,,,
guitar cases,guitar case,apply,Singular/plural normalization.,
guitar frame,guitar,,,
guitar pedals,guitar,,,
guitar stand,guitar,,,
guitar straps,guitar,,,
gun,gun,,,
gym equipment,exercise equipment,apply,Location/context synonym, same generic equipment class.
gym mat,exercise mat,apply,Usage/context modifiers are non-essential to the general exercise-mat class.,
gym rope,gym rope,,,
gym stepper,exercise equipment,,,
hair brush,hair brush,,,
hair dryer,hair dryer,,,
hammer,hammer,,,
hammock,hammock,,,
hand cloth,towel,,,
hand dryer,hand dryer,,,
hand soap,soap,apply,Form/use modifiers are non-essential to the general soap class.,
hand towel,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
handbag,bag,,,
handcart,handcart,,,
handkerchiefs,handkerchiefs,,,
handle,handle,,,
hanger,hanger,,,
hanging clothes,clothes,apply,State/location/quantity modifiers do not change the clothing class.,
hat,hat,,,
hatch,hatch,,,
hats,hat,,,
headboard,headboard,,,
headphones,headphones,,,
headset,headphones,,,
hearth,fireplace,,,
heater,heater,,,
heater piping,heater piping,,,
hi-hat,drum,,,
hi-hat stand,hi-hat,,,
high shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
highchair,chair,,,
holder,holder,,,
hole puncher,stationery,,,
holy cross,holy cross,,,
hook,hook,,,
hose,hose,,,
hot water/cold water knob,faucet,,,
hourglass,hourglass,,,
hoverboard,hoverboard,,,
hunting trophy,trophy,,,
hutch,cabinet,,,
ice maker,ice maker,,,
icebox,refrigerator,,,
identifier,sign,,,
information,information,,,
installation,installation,,,
instrument,instrument,,,
iron,iron,,,
iron board,ironing board,,,
ironing board,ironing board,,,
island,kitchen island,,,
jacket,clothes,,,
jacuzzi,bathtub,,,
jar,container,,,
jars,container,,,
jewelry,jewelry,,,
jewelry box,jewelry,,,
jug,jug,,,
junk,clutter,,,
keg,keg,,,
kettle,kettle,,,
keyboard,computer equipment,,,
keyboard box,piano,,,
keyboard cover,piano,,,
keyboard piano,piano,,,
keyboard stand,piano,,,
keys,keys,,,
kitchen appliance,kitchen appliance,,,
kitchen cabinet,cabinet,,,
kitchen cabinet door,cabinet door,apply,Parent-room/location modifier does not change the cabinet-door class.,
kitchen cabinet drawer,cabinet drawer,apply,Parent-room/location modifier does not change the cabinet-drawer class.,
kitchen cabinet lower,kitchen cabinet,apply,Word-order and vertical-position modifiers, all are kitchen cabinets.
kitchen chair,chair,,,
kitchen counter,countertop,,,
kitchen counter item,countertop item,apply,Location/plural wording variants for the same generic countertop-item label.,
kitchen counter support,kitchen counter,,,
kitchen countertop item,countertop item,apply,Location/plural wording variants for the same generic countertop-item label.,
kitchen countertop items,countertop item,apply,Location/plural wording variants for the same generic countertop-item label.,
kitchen decoration,decoration,,,
kitchen extractor,extractor hood,apply,Common names/location wording for the same kitchen extraction appliance.,
