class_label;count
garage door opener;3
garage door opener railing;36
gas box;1
gas container;1
gas meter;1
gauge;1
gift;8
glass;175
glasses;10
globe;27
globe stand;4
gloves;5
glue;1
goalpost;1
golf sticks;1
grab bar;12
grass;7
grate;3
gravel;1
groceries;5
guitar;106
gun;1
gym rope;1
hair brush;4
hair dryer;5
hammer;4
hammock;4
hand dryer;4
handcart;1
handkerchiefs;1
handle;34
hanger;465
hat;129
hatch;3
headboard;7
headphones;10
heater;582
heater piping;13
holder;6
holy cross;18
hook;17
hose;27
hourglass;1
hoverboard;1
ice maker;2
information;3
installation;2
instrument;1
iron;13
ironing board;44
jewelry;65
jug;27
keg;3
kettle;102
keys;19
kitchen appliance;219
kitchen handle;4
kitchen island;56
kitchen utensil;231
knife;74
knob;26
lace doily;18
ladder;69
landing;5
laundry;97
lawn mower;2
level;2
lid;8
light;7782
lighter;1
liquid;2
locker;16
machine;52
mailbox;1
mannequin;3
map;8
mascot;21
massage bed;7
material;2
measuring tape;2
medical lamp;2
medical object;1
menu;4
meshwork;1
meter;1
microphone;1
microphone accessory;1
microwave;174
mirror;1334
model;6
modem;1
mop;18
mortar;3
motorcycle;1
music equipment;1
napkin;10
nightstand;284
oar;1
object;24
objects;4
outlet;54
oven;343
overhang;1
pad;46
painting stuff;4
pan;9
panel;21
pantry;1
paper holder;2
paper storage;15
paper towel;128
parapet;113
partial;1
pavement;4
pedestal;2
pen;30
pendant;1
pet bed;24
pet bowl;4
phone;159
photo mount;139
photo stand;1
piano;48
pillow;3842
pitchfork;1
place mat;15
plane;2
plank;5
plant;1631
plant ornament;3
platform;22
playpen;1
plenum box;2
pliers;3
plumbing;10
plunger;13
podium;4
pole;2
pool;2
pool table;21
porcelain;24
poster;53
pot;178
pot lid;1
pouches;1
press;1
pressure washer;1
printer;106
product;300
products;24
prop;1
pump;2
punchbag;3
puppet;3
rag;14
rail;25
rake;3
receipt printer;3
records;1
recuperator;2
refrigerator;288
remote control;91
rice cooker;1
riser;1
rocking horse;3
rod;12
roll;3
rope;14
router;5
rug;1350
safe;7
saturator;2
sauna;18
saw;6
saxophone;3
scale;30
scanner;1
screen;193
screen frame;1
screwdriver;3
sculpture;214
security camera;15
self-closing mechanism;1
sensor;153
separator;11
set of valves;1
sewing machine;8
sewing tools;3
shampoo;85
sheet music;1
sheets / clothes;8
shelf;2369
ship toy;1
shisha;6
shoe;783
shoe rack;37
shoehorn;1
shovel;19
shower;620
shower seat;31
shredder;1
side table;249
sideboard;12
sign;236
silicone gun;1
silicone tube;6
sink;958
skateboard;2
skates;1
ski;2
sky;2
sled;2
sleeping bag;2
smoke detector;336
snack;31
soap;448
socks;3
sofa;553
solarium;3
speaker;236
speaker stand;3
spices;28
sponge;4
spray can;2
sprinkler;30
square;1
stack;2
stack of books / papers;1
stack of stuff;2
stack of yarns;1
stage;3
stained glass;4
stand;99
star;6
stationery;46
steel plate;1
step stool;7
stick;15
stone;9
stonework;4
stool;321
storage;87
strings;65
stroke;1
sunbed;37
support;4
surface;19
surfboard;4
swing;3
switch;56
table;1509
table cloth;33
table pad;8
table stand;6
table tennis table;2
tablet;9
tambourine;1
tea set;1
telescope;3
tennis racket;1
tent;1
thermometer;2
thermostat;24
three;1
tile;24
tire;9
tissue;167
title;1
toaster;54
toaster oven;1
toilet;594
toilet brush;175
toilet cleaner;10
toilet paper;563
toiletry;9
tool;100
tool rack;71
toothbrush;18
toothpaste;2
towel;1283
towel bar;273
toy;928
traffic cone;1
trampoline;1
trash bag;11
tray;157
treadmill;10
tree;5
tree branch;5
trimmer;1
tripod;1
trolley;4
trombone;2
trophy;55
trough;1
trumpet;2
tv;461
tv stand;79
typewriter;4
ukulele;7
umbrella;38
umbrella stand;1
unknown;5974
vacuum cleaner;73
vanity;2
vase;643
vegetables;1
vessel;36
vinyl records;1
violin;9
violin case;1
waffle iron;1
wardrobe;513
washing machine;223
washing powder;17
washing stuff;56
watch;10
water dispenser;10
water heater;4
water meter;1
water pump;2
water tank;22
watering can;6
weight;51
weight bench;4
weights;2
wheel;10
wheelbarrow;2
window shade;529
wine;30
wine storage;19
wood;36
wrench;1
